Fs_[Hz]   	1000,00000000
Tempo[s]  	Eixo_x 	Eixo_y 	Eixo_z 	Sinal_4
5,16100000	0,01164196	-0,17556236	0,02963024	0,00000000
5,16200000	0,21723663	-0,04431044	-0,03896750	0,00000000
5,16300000	-0,12926180	0,09068784	-0,03784703	0,00000000
5,16400000	0,17907019	0,14830434	0,10681825	0,00000000
5,16500000	-0,02112356	0,06704700	0,00759430	0,00000000
5,16600000	-0,14930517	-0,07337706	-0,07071418	0,00000000
5,16700000	-0,09397585	-0,05567872	-0,02041747	0,00000000
5,16800000	0,00072012	-0,10929048	0,04705979	0,00000000
5,16900000	0,03132528	-0,01550220	0,01294767	0,00000000
5,17000000	0,04812812	-0,08448697	-0,02788728	0,00000000
5,17100000	0,25984381	0,21974362	-0,04133294	0,00000000
5,17200000	-0,26188416	0,04431044	0,03996347	0,00000000
5,17300000	0,11749981	0,08965436	0,03921649	0,00000000
5,17400000	-0,19347262	-0,14985456	-0,04407187	0,00000000
5,17500000	-0,04980840	-0,04779844	-0,02564634	0,00000000
5,17600000	0,01368231	-0,10179775	0,02240942	0,00000000
5,17700000	0,37962401	0,14765841	0,02303191	0,00000000
5,17800000	-0,31853371	-0,05051132	0,02514835	0,00000000
5,17900000	0,04092690	0,14546227	-0,03672656	0,00000000
5,18000000	-0,05100860	-0,01834426	0,01207619	0,00000000
5,18100000	0,34229772	-0,07027662	0,05838900	0,00000000
5,18200000	-0,19647313	-0,17439970	-0,02079097	0,00000000
5,18300000	-0,12230062	-0,04909029	-0,04295140	0,00000000
5,18400000	0,10453763	0,08887925	0,01556210	0,00000000
5,18500000	0,15926685	0,20256202	0,00236544	0,00000000
5,18600000	-0,27688669	0,04379370	-0,00921276	0,00000000
5,18700000	0,17762995	0,01472709	-0,02228493	0,00000000
5,18800000	-0,05292892	-0,08900844	-0,02689131	0,00000000
5,18900000	-0,09529607	-0,14533308	0,08988669	0,00000000
5,19000000	0,28516808	-0,08332430	0,02714030	0,00000000
5,19100000	0,01176198	0,04082245	-0,03921649	0,00000000
5,19200000	-0,24472126	0,05813323	-0,02502386	0,00000000
5,19300000	0,10177716	0,21457622	0,03560608	0,00000000
5,19400000	-0,19323258	-0,04224348	0,03286715	0,00000000
5,19500000	0,16094714	-0,13021844	-0,00771880	0,00000000
5,19600000	0,09277564	-0,10373552	-0,08503131	0,00000000
5,19700000	0,08953510	-0,00994724	0,08316386	0,00000000
5,19800000	0,03852650	0,04340615	0,04556583	0,00000000
5,19900000	-0,12518111	0,09055866	-0,05452960	0,00000000
5,20000000	-0,10105704	0,14016568	-0,05913598	0,00000000
5,20100000	-0,01668281	-0,00232533	0,03037722	0,00000000
5,20200000	0,10957848	-0,03475075	0,03498360	0,00000000
5,20300000	-0,31385292	-0,25475275	0,02514835	0,00000000
5,20400000	0,40854889	0,01201420	-0,05091919	0,00000000
5,20500000	0,05700961	0,06149204	0,03523259	0,00000000
5,20600000	-0,16010700	0,10128101	0,05677054	0,00000000
5,20700000	0,06493095	0,09818057	-0,00423289	0,00000000
5,20800000	-0,14378424	-0,06355900	-0,06548532	0,00000000
5,20900000	-0,14174390	-0,07014743	0,02714030	0,00000000
5,21000000	0,21711661	-0,03810956	0,02178694	0,00000000
5,21100000	-0,05244884	-0,06653026	0,00336141	0,00000000
5,21200000	0,05028848	-0,03836793	-0,04481885	0,00000000
5,21300000	0,06445087	0,11109907	-0,02103996	0,00000000
5,21400000	-0,06457089	0,09792220	0,04257791	0,00000000
5,21500000	0,03456583	0,07105173	0,00261443	0,00000000
5,21600000	-0,12098040	-0,04521474	-0,01942150	0,00000000
5,21700000	-0,03492589	-0,06472167	-0,02888326	0,00000000
5,21800000	0,16574795	-0,07298950	0,03958998	0,00000000
5,21900000	-0,02388403	-0,07092254	0,02664231	0,00000000
5,22000000	-0,09217554	-0,04314778	-0,00099597	0,00000000
5,22100000	0,18063046	0,12569697	-0,05440510	0,00000000
5,22200000	-0,11761983	0,08242001	0,06162592	0,00000000
5,22300000	0,11413925	0,01343524	0,04581482	0,00000000
5,22400000	-0,02928494	-0,11988365	-0,03062621	0,00000000
5,22500000	-0,00312053	-0,05180317	-0,06946921	0,00000000
5,22600000	0,07153206	0,07337706	0,05166617	0,00000000
5,22700000	-0,12302074	0,01395198	-0,02452587	0,00000000
5,22800000	0,05148868	-0,03487994	0,01294767	0,00000000
5,22900000	-0,00348059	0,01743997	-0,05614806	0,00000000
5,23000000	0,01800304	0,07208521	0,02103996	0,00000000
5,23100000	0,07813317	-0,03371728	0,07693902	0,00000000
5,23200000	0,22263754	-0,02867906	0,02552184	0,00000000
5,23300000	-0,21663653	-0,04754007	-0,06025645	0,00000000
5,23400000	-0,13286240	-0,03048765	-0,00273893	0,00000000
5,23500000	0,11821993	0,05839160	0,07258163	0,00000000
5,23600000	-0,16958860	-0,06872640	-0,00672283	0,00000000
5,23700000	0,19143228	0,03953060	-0,06150142	0,00000000
5,23800000	0,09817655	0,02880825	-0,00497987	0,00000000
5,23900000	-0,04716795	-0,00904295	0,07133667	0,00000000
5,24000000	0,09349576	-0,00878458	0,00112047	0,00000000
5,24100000	-0,11954016	-0,03630097	-0,05888699	0,00000000
5,24200000	-0,23631985	-0,02687047	-0,02128895	0,00000000
5,24300000	0,19503289	0,06291308	0,01929700	0,00000000
5,24400000	-0,12326078	0,06846803	0,03647756	0,00000000
5,24500000	-0,08845491	-0,12944333	0,02564634	0,00000000
5,24600000	0,42451158	0,05167398	-0,05378262	0,00000000
5,24700000	-0,11809991	-0,11407032	0,04008797	0,00000000
5,24800000	0,12218060	0,02661210	0,04643731	0,00000000
5,24900000	-0,38934565	-0,03604260	-0,04357388	0,00000000
5,25000000	0,03888656	0,11549136	-0,03871850	0,00000000
5,25100000	0,09253560	0,04818599	0,02751379	0,00000000
5,25200000	0,22491792	0,03358809	-0,00074698	0,00000000
5,25300000	-0,22059720	-0,12802230	0,01369465	0,00000000
5,25400000	0,12710143	-0,00452147	-0,02253392	0,00000000
5,25500000	-0,06457089	-0,01007643	-0,02004398	0,00000000
5,25600000	0,05496927	-0,00129185	0,04992322	0,00000000
5,25700000	0,05208878	0,00322962	0,01680707	0,00000000
5,25800000	-0,13034198	-0,04082245	-0,04793127	0,00000000
5,25900000	0,14186392	0,05994182	-0,00323692	0,00000000
5,26000000	0,00156026	0,12866822	0,04818026	0,00000000
5,26100000	-0,17366928	-0,07066417	0,03996347	0,00000000
5,26200000	0,25396282	-0,07893201	-0,05452960	0,00000000
5,26300000	-0,04428747	-0,04586066	-0,04930073	0,00000000
5,26400000	-0,04176704	-0,01911937	0,11217162	0,00000000
5,26500000	0,04488757	0,00723436	0,01929700	0,00000000
5,26600000	0,10465765	0,08487452	-0,06038095	0,00000000
5,26700000	-0,13598293	-0,00284207	-0,03112420	0,00000000
5,26800000	0,16274744	0,06975988	0,04382287	0,00000000
5,26900000	-0,26284432	-0,12608452	-0,00298792	0,00000000
5,27000000	0,06805147	-0,11936691	-0,00896377	0,00000000
5,27100000	0,15470609	0,03720527	-0,07743701	0,00000000
5,27200000	-0,14462439	0,04676496	0,10507530	0,00000000
5,27300000	0,23043886	0,12363001	0,04668630	0,00000000
5,27400000	0,12206058	0,08164490	-0,02502386	0,00000000
5,27500000	-0,35946061	-0,07131010	-0,05179067	0,00000000
5,27600000	-0,02688453	-0,10128101	0,03871850	0,00000000
5,27700000	0,03348565	-0,14830434	0,00846578	0,00000000
5,27800000	0,06481093	-0,07195602	0,02079097	0,00000000
5,27900000	0,04404743	0,10270205	-0,06311988	0,00000000
5,28000000	0,08857493	0,19287315	0,02352989	0,00000000
5,28100000	-0,04260718	0,04805681	0,05316013	0,00000000
5,28200000	0,16790831	-0,03849712	-0,01406814	0,00000000
5,28300000	-0,33269610	-0,14391205	-0,07569405	0,00000000
5,28400000	-0,03636613	-0,07389380	0,00448188	0,00000000
5,28500000	0,19311256	0,01666486	0,03348964	0,00000000
